external_id,name,property_external_id,flat_number,total_rooms
property_js_flat_502,Flat 502,property_js,502,2
property_js_flat_504,Flat 504,property_js,504,1
property_js_flat_506,Flat 506,property_js,506,1
property_js_flat_509,Flat 509,property_js,509,1
property_js_flat_510,Flat 510,property_js,510,2
property_js_flat_511,Flat 511,property_js,511,2
property_js_flat_513,Flat 513,property_js,513,2
property_js_flat_601,Flat 601,property_js,601,3
property_js_flat_603,Flat 603,property_js,603,1
property_js_flat_604,Flat 604,property_js,604,1
property_js_flat_606,Flat 606,property_js,606,2
property_js_flat_608,Flat 608,property_js,608,1
property_js_flat_610,Flat 610,property_js,610,3
property_js_flat_611,Flat 611,property_js,611,1
property_js_flat_613,Flat 613,property_js,613,1
property_js_flat_614,Flat 614,property_js,614,1
property_js_flat_701,Flat 701,property_js,701,3
property_js_flat_704,Flat 704,property_js,704,2
property_js_flat_705,Flat 705,property_js,705,2
property_js_flat_706,Flat 706,property_js,706,1
property_js_flat_707,Flat 707,property_js,707,2
property_js_flat_708,Flat 708,property_js,708,1
property_js_flat_710,Flat 710,property_js,710,3
property_js_flat_712,Flat 712,property_js,712,2
property_js_flat_713,Flat 713,property_js,713,2
property_s.p_flat_104,Flat 104,property_s.p,104,9
property_s.p_flat_203,Flat 203,property_s.p,203,9
property_s.p_flat_304,Flat 304,property_s.p,304,9
property_s.p_flat_401,Flat 401,property_s.p,401,5
property_s.p_flat_404,Flat 404,property_s.p,404,8
property_s.p_flat_506,Flat 506,property_s.p,506,5
property_s.p_flat_704,Flat 704,property_s.p,704,9
property_s.p_flat_706,Flat 706,property_s.p,706,7
property_yahya_flat_101,Flat 101,property_yahya,101,6
property_yahya_flat_108,Flat 108,property_yahya,108,8
property_yahya_flat_204,Flat 204,property_yahya,204,7
property_yahya_flat_207,Flat 207,property_yahya,207,12
property_yahya_flat_208,Flat 208,property_yahya,208,5
property_yahya_flat_301,Flat 301,property_yahya,301,9
property_yahya_flat_307,Flat 307,property_yahya,307,5
property_yahya_flat_308,Flat 308,property_yahya,308,8
property_yahya_flat_401,Flat 401,property_yahya,401,8
property_yahya_flat_406,Flat 406,property_yahya,406,5
property_yahya_flat_407,Flat 407,property_yahya,407,6
property_yahya_flat_408,Flat 408,property_yahya,408,6
property_yahya_flat_504,Flat 504,property_yahya,504,10
property_yahya_flat_506,Flat 506,property_yahya,506,5
property_yahya_flat_601,Flat 601,property_yahya,601,6
property_yahya_flat_604,Flat 604,property_yahya,604,8
property_yahya_flat_607,Flat 607,property_yahya,607,6
property_yahya_flat_704,Flat 704,property_yahya,704,8
property_yahya_flat_705,Flat 705,property_yahya,705,9
property_yahya_flat_708,Flat 708,property_yahya,708,5
