external_id,name,flat_external_id,room_type_standard,room_type
property_deema_flat_208_room_208,Room 208,property_deema_flat_208,other,RIGHT MAID ROOM
property_deema_flat_208_room_208,Room 208,property_deema_flat_208,other,LEFT MAID ROOM
property_deema_flat_208_room_PART. 1,Room PART. 1,property_deema_flat_208,other,S.HALL PART. 1
property_deema_flat_208_room_PART. 2,Room PART. 2,property_deema_flat_208,other,HALL PART. 2 WIND.
property_deema_flat_208_room_PART. 3,Room PART. 3,property_deema_flat_208,other,HALL PART. 3 BAL.
property_deema_flat_208_room_PART. 4,Room PART. 4,property_deema_flat_208,other,HALL PART. 4 BAL.
property_deema_flat_208_room_PART. 5,Room PART. 5,property_deema_flat_208,other,HALL PART. 5
property_deema_flat_208_room_PART. 6,Room PART. 6,property_deema_flat_208,other,HALL PART. 6
property_deema_flat_301_room_301,Room 301,property_deema_flat_301,other,1BHK ATTACH ROOM
property_deema_flat_301_room_1 BHK PART.,Room 1 BHK PART.,property_deema_flat_301,other,PART. ROOM
property_deema_flat_301_room_ATTACH. MIDDLE,Room ATTACH. MIDDLE,property_deema_flat_301,other,MIDDLE ATTACH
property_deema_flat_301_room_1ST ATTACH,Room 1ST ATTACH,property_deema_flat_301,other,1ST ATTACH
property_deema_flat_301_room_301,Room 301,property_deema_flat_301,other,LEFT MAID ROOM
property_deema_flat_301_room_301,Room 301,property_deema_flat_301,other,RIGHT MAID ROOM
property_deema_flat_301_room_PART. 1,Room PART. 1,property_deema_flat_301,other,S. HALL PART. 1
property_deema_flat_301_room_PART. 2,Room PART. 2,property_deema_flat_301,other,HALL PART. 2 WIND.
property_deema_flat_301_room_PART. 3,Room PART. 3,property_deema_flat_301,other,HALL PART. 3 BAL.
property_deema_flat_301_room_PART. 4,Room PART. 4,property_deema_flat_301,other,HALL PART. 4 BAL.
property_deema_flat_301_room_PART. 5,Room PART. 5,property_deema_flat_301,other,HALL PART. 5
property_deema_flat_301_room_PART. 6,Room PART. 6,property_deema_flat_301,other,HALL PART. 6
property_deema_flat_302_room_PART. 1,Room PART. 1,property_deema_flat_302,other,HALL PART. 1
property_deema_flat_302_room_PART. 2,Room PART. 2,property_deema_flat_302,other,HALL PART. 2
property_deema_flat_302_room_PART. 3,Room PART. 3,property_deema_flat_302,other,HALL PART. 3
property_deema_flat_302_room_PART. 4,Room PART. 4,property_deema_flat_302,other,K.HALL PART. 4 BAL.
property_deema_flat_302_room_PART. 5,Room PART. 5,property_deema_flat_302,other,K.HALL PART. 5 WIND.
property_deema_flat_302_room_ROOM. MA,Room ROOM. MA,property_deema_flat_302,other,BIG MAID ROOM
property_deema_flat_302_room_1ST ATTACH,Room 1ST ATTACH,property_deema_flat_302,other,1ST ATTACH
property_deema_flat_302_room_2ND ATTACH,Room 2ND ATTACH,property_deema_flat_302,other,2ND ATTACH
property_deema_flat_302_room_ATTACH. RIGHT ,Room ATTACH. RIGHT ,property_deema_flat_302,other,RIGHT ATTACH
property_deema_flat_302_room_ROOM. MAI,Room ROOM. MAI,property_deema_flat_302,other,K. MAID ROOM
property_deema_flat_302_room_PART. A,Room PART. A,property_deema_flat_302,other,PART. WIND. A
property_deema_flat_302_room_PART. B,Room PART. B,property_deema_flat_302,other,PART. WIND. B
property_deema_flat_304_room_PART. 1,Room PART. 1,property_deema_flat_304,hall_partition,HALL 1ST PART.
property_deema_flat_304_room_PART. 2,Room PART. 2,property_deema_flat_304,hall_partition,HALL 2ND PART.
property_deema_flat_304_room_PART. 3,Room PART. 3,property_deema_flat_304,other,HALL PART. 3 WIND.
property_deema_flat_304_room_PART. 4,Room PART. 4,property_deema_flat_304,other,HALL PART. 4
property_deema_flat_304_room_K. HALL,Room K. HALL,property_deema_flat_304,other,K. HALL BAL.
property_deema_flat_304_room_304,Room 304,property_deema_flat_304,other,KITCHEN MAID
property_deema_flat_304_room_304,Room 304,property_deema_flat_304,maid_room,MAID ROOM
property_deema_flat_304_room_304,Room 304,property_deema_flat_304,other,2ND MAID
property_deema_flat_304_room_ATTACH. 1,Room ATTACH. 1,property_deema_flat_304,other,1ST ATTACH
property_deema_flat_304_room_ATTACH. 2,Room ATTACH. 2,property_deema_flat_304,other,2ND ATTACH
property_deema_flat_304_room_PART. 1,Room PART. 1,property_deema_flat_304,other,ATTACH BAL. PART.1
property_deema_flat_304_room_PART. 2,Room PART. 2,property_deema_flat_304,other,ATTACH PART. 2
property_deema_flat_304_room_ROOM. M,Room ROOM. M,property_deema_flat_304,other,ATTACH MAID ROOM
property_deema_flat_304_room_304,Room 304,property_deema_flat_304,other,PART. BAL. A
property_deema_flat_304_room_304,Room 304,property_deema_flat_304,other,PART. BAL. B
property_deema_flat_307_room_PART. 1 BAL.,Room PART. 1 BAL.,property_deema_flat_307,hall_partition,HALL PART. BAL
property_deema_flat_307_room_PART. 2 WIND,Room PART. 2 WIND,property_deema_flat_307,other,HALL PART. 2 WIND.
property_deema_flat_307_room_PART. 3,Room PART. 3,property_deema_flat_307,other,K. HALL PART.3
property_deema_flat_307_room_PART. 4,Room PART. 4,property_deema_flat_307,other,K. HALL PART.4
property_deema_flat_307_room_PART. 5,Room PART. 5,property_deema_flat_307,other,K. HALL PART.5
property_deema_flat_307_room_ATTACH. B. ATT,Room ATTACH. B. ATT,property_deema_flat_307,other,B. ATTACH
property_deema_flat_307_room_ATTACH. S. ATT,Room ATTACH. S. ATT,property_deema_flat_307,attached_bathroom,S. ATTACH
property_deema_flat_307_room_BAL. ATTACH,Room BAL. ATTACH,property_deema_flat_307,attached_bathroom,ATTACH BAL.
property_deema_flat_307_room_BAL. PART. ,Room BAL. PART. ,property_deema_flat_307,partition,PART. BAL.
property_deema_flat_307_room_ROOM. MAID R,Room ROOM. MAID R,property_deema_flat_307,maid_room,MAID ROOM
property_deema_flat_307_room_ROOM. MAI,Room ROOM. MAI,property_deema_flat_307,other,K. MAID ROOM
property_deema_flat_405_room_PART. 1,Room PART. 1,property_deema_flat_405,hall_partition,HALL 1ST PART.
property_deema_flat_405_room_PART. 2,Room PART. 2,property_deema_flat_405,hall_partition,HALL 2ND PART.
property_deema_flat_405_room_PART. 3,Room PART. 3,property_deema_flat_405,other,HALL PART.3 WIND.
property_deema_flat_405_room_PART. 4,Room PART. 4,property_deema_flat_405,other,HALL PART.4
property_deema_flat_405_room_BAL. HAL,Room BAL. HAL,property_deema_flat_405,other,K. HALL BAL.
property_deema_flat_405_room_MAID. KITCHE,Room MAID. KITCHE,property_deema_flat_405,other,KITCHEN MAID
property_deema_flat_405_room_MAID. 1,Room MAID. 1,property_deema_flat_405,other,1ST MAID
property_deema_flat_405_room_MAID. 2,Room MAID. 2,property_deema_flat_405,other,2ND MAID
property_deema_flat_405_room_1ST ATTACH,Room 1ST ATTACH,property_deema_flat_405,other,1ST ATTACH
property_deema_flat_405_room_ATTACH PART. 1,Room ATTACH PART. 1,property_deema_flat_405,other,ATTACH BAL. PART.1
property_deema_flat_405_room_ATTACH PART. 2,Room ATTACH PART. 2,property_deema_flat_405,other,ATTACH PART. 2
property_deema_flat_405_room_ATTACH MAID,Room ATTACH MAID,property_deema_flat_405,other,ATTACH MAID ROOM
property_deema_flat_405_room_2ND ATTACH,Room 2ND ATTACH,property_deema_flat_405,other,2ND ATTACH
property_deema_flat_405_room_PART. A,Room PART. A,property_deema_flat_405,other,PART. BAL. A
property_deema_flat_405_room_PART. B,Room PART. B,property_deema_flat_405,other,PART. BAL. B
property_deema_flat_406_room_PART. 1,Room PART. 1,property_deema_flat_406,other,HALL PART. 1
property_deema_flat_406_room_PART. 2,Room PART. 2,property_deema_flat_406,other,HALL PART. 2
property_deema_flat_406_room_PART. 4,Room PART. 4,property_deema_flat_406,other,HALL PART. 4 BAL.
property_deema_flat_406_room_K. HALL,Room K. HALL,property_deema_flat_406,other,K. HALL BAL.
property_deema_flat_406_room_K. MAID ROOM,Room K. MAID ROOM,property_deema_flat_406,other,KITCHEN MAID
property_deema_flat_406_room_MAID. 2,Room MAID. 2,property_deema_flat_406,other,2ND MAID
property_deema_flat_406_room_406,Room 406,property_deema_flat_406,other,1ST MAID
property_deema_flat_406_room_406,Room 406,property_deema_flat_406,other,1ST ATTACH
property_deema_flat_406_room_2ND ATTACH,Room 2ND ATTACH,property_deema_flat_406,other,2ND ATTACH
property_deema_flat_406_room_ATTACH BAL.,Room ATTACH BAL.,property_deema_flat_406,attached_bathroom,ATTACH BAL.
property_deema_flat_406_room_PART. A,Room PART. A,property_deema_flat_406,other,PART. BAL. A
property_deema_flat_406_room_PART. B,Room PART. B,property_deema_flat_406,other,PART. BAL. B
property_deema_flat_407_room_407,Room 407,property_deema_flat_407,other,ATTACH
property_deema_flat_407_room_WIND. ATTACH,Room WIND. ATTACH,property_deema_flat_407,other,ATTACH WIND.
property_deema_flat_407_room_407,Room 407,property_deema_flat_407,other,1ST MAID ROOM
property_deema_flat_407_room_K. MAID ROOM,Room K. MAID ROOM,property_deema_flat_407,other,K MAID ROOM
property_deema_flat_407_room_PART. 1,Room PART. 1,property_deema_flat_407,hall_partition,HALL 1ST PART.
property_deema_flat_407_room_PART. 2,Room PART. 2,property_deema_flat_407,hall_partition,HALL 2ND PART.
property_deema_flat_407_room_PART. 3,Room PART. 3,property_deema_flat_407,other,HALL 3RD PART.
property_deema_flat_407_room_PART. 4,Room PART. 4,property_deema_flat_407,other,K. HALL PART.4
property_deema_flat_407_room_PART. 5,Room PART. 5,property_deema_flat_407,other,K. HALL 5TH PART.
property_deema_flat_407_room_PART. 6,Room PART. 6,property_deema_flat_407,other,K. HALL 6TH PART.
property_deema_flat_407_room_PART. 7,Room PART. 7,property_deema_flat_407,other,K. HALL PART NO.7
property_deema_flat_407_room_PART. 8,Room PART. 8,property_deema_flat_407,other,K. HALL PART. 8
property_deema_flat_503_room_PART. 1,Room PART. 1,property_deema_flat_503,other,HALL PART NO.1
property_deema_flat_503_room_PART. 2,Room PART. 2,property_deema_flat_503,other,HALL PART. NO.2
property_deema_flat_503_room_PART. 3,Room PART. 3,property_deema_flat_503,other,HALL PART. NO.3
property_deema_flat_503_room_PART. 4,Room PART. 4,property_deema_flat_503,other,HALL PART NO. 4
property_deema_flat_503_room_PART. 5,Room PART. 5,property_deema_flat_503,other,K. HALL PART NO. 5
property_deema_flat_503_room_ROOM. 1,Room ROOM. 1,property_deema_flat_503,other,1ST MAID ROOM
property_deema_flat_503_room_ROOM. 2,Room ROOM. 2,property_deema_flat_503,other,2ND MAID ROOM
property_deema_flat_503_room_MAID. KITCHE,Room MAID. KITCHE,property_deema_flat_503,other,KITCHEN MAID
property_deema_flat_503_room_ATTACH. 1,Room ATTACH. 1,property_deema_flat_503,other,1ST ATTACH
property_deema_flat_503_room_ATTACH. 2,Room ATTACH. 2,property_deema_flat_503,other,2ND ATTACH
property_deema_flat_503_room_ATTACH PART. 1,Room ATTACH PART. 1,property_deema_flat_503,other,LEFT ATTACH PART. WIND.
property_deema_flat_503_room_ATTACH PART. 2,Room ATTACH PART. 2,property_deema_flat_503,other,LEFT ATTACH PART.2
property_deema_flat_503_room_ATTACH MAID,Room ATTACH MAID,property_deema_flat_503,other,ATTACH MAID ROOM
property_deema_flat_503_room_PART. A,Room PART. A,property_deema_flat_503,other,PART. A
property_deema_flat_503_room_PART. B,Room PART. B,property_deema_flat_503,other,PART. B
property_deema_flat_506_room_PART. 1,Room PART. 1,property_deema_flat_506,other,PART. 1
property_deema_flat_506_room_PART. 2,Room PART. 2,property_deema_flat_506,other,PART. NO.2
property_deema_flat_506_room_PART. 3,Room PART. 3,property_deema_flat_506,other,PART. NO. 3
property_deema_flat_506_room_PART. 4,Room PART. 4,property_deema_flat_506,other,PART. NO. 4
property_deema_flat_506_room_PART. HALL,Room PART. HALL,property_deema_flat_506,other,K HALL PART.
property_deema_flat_506_room_MAID. KITCHE,Room MAID. KITCHE,property_deema_flat_506,other,KITCHEN MAID
property_deema_flat_506_room_ROOM. 2,Room ROOM. 2,property_deema_flat_506,other,2ND MAID ROOM
property_deema_flat_506_room_ROOM. 1,Room ROOM. 1,property_deema_flat_506,other,1ST MAID ROOM
property_deema_flat_506_room_1ST ATTACH,Room 1ST ATTACH,property_deema_flat_506,other,1ST ATTACH
property_deema_flat_506_room_2ND ATTACH,Room 2ND ATTACH,property_deema_flat_506,other,2ND ATTACH
property_deema_flat_506_room_ATTACH BAL.,Room ATTACH BAL.,property_deema_flat_506,attached_bathroom,ATTACH BAL.
property_deema_flat_506_room_PART. BAL.,Room PART. BAL.,property_deema_flat_506,other,PARTITION BAL.
property_deema_flat_602_room_ATTACH. H,Room ATTACH. H,property_deema_flat_602,other,ATTACH
property_deema_flat_602_room_PART. 1,Room PART. 1,property_deema_flat_602,other,HALL PART NO. 1
property_deema_flat_602_room_PART. 2,Room PART. 2,property_deema_flat_602,other,HALL PART NO. 2
property_deema_flat_602_room_PART. 3,Room PART. 3,property_deema_flat_602,other,HALL PART NO. 3
property_deema_flat_602_room_PART. 4,Room PART. 4,property_deema_flat_602,other,HALL PART NO. 4 BAL
property_deema_flat_602_room_PART. 5,Room PART. 5,property_deema_flat_602,other,K. HALL
property_deema_flat_602_room_MAID ROOM 1,Room MAID ROOM 1,property_deema_flat_602,other,MAID ROOM 1
property_deema_flat_602_room_MAID ROOM 2,Room MAID ROOM 2,property_deema_flat_602,other,MAID ROOM 2
property_deema_flat_702_room_PART. NO. S1,Room PART. NO. S1,property_deema_flat_702,other,SH. PART. NO. S1
property_deema_flat_702_room_PART. NO. A2,Room PART. NO. A2,property_deema_flat_702,other,ATT. PART. NO. A2 BAL.
property_deema_flat_702_room_PART. NO. A1,Room PART. NO. A1,property_deema_flat_702,other,ATT. PART. NO. A1
property_deema_flat_702_room_PART. P1,Room PART. P1,property_deema_flat_702,other,PART. P1
property_deema_flat_702_room_PART. P2,Room PART. P2,property_deema_flat_702,other,PART. P2
property_deema_flat_603_room_PART. 1,Room PART. 1,property_deema_flat_603,other,HALL PART. 1
property_deema_flat_603_room_PART. 2,Room PART. 2,property_deema_flat_603,other,HALL PART. 2
property_deema_flat_603_room_PART. 3,Room PART. 3,property_deema_flat_603,other,HALL PART. BAL. 3
property_deema_flat_603_room_K. HALL,Room K. HALL,property_deema_flat_603,other,KITCHEN HALL
property_deema_flat_603_room_K. MAID ROOM,Room K. MAID ROOM,property_deema_flat_603,other,K. MAID ROOM
property_deema_flat_603_room_ATTACH PART. 1,Room ATTACH PART. 1,property_deema_flat_603,other,ATTACH PART. 1
property_deema_flat_603_room_ATTACH PART. 2,Room ATTACH PART. 2,property_deema_flat_603,other,ATTACH PART. BAL. 2
property_deema_flat_703_room_BIG ATTACH,Room BIG ATTACH,property_deema_flat_703,other,UPPER BIG ATTACH
property_deema_flat_703_room_SH. PART. 1,Room SH. PART. 1,property_deema_flat_703,other,UPPER SH. PART. NO. 1
property_deema_flat_703_room_SH PART. 2,Room SH PART. 2,property_deema_flat_703,other,UPPER SH. PART. NO. 2
property_deema_flat_703_room_SH PART. 3,Room SH PART. 3,property_deema_flat_703,other,UPPER SH. PART. NO. 3 BAL
property_deema_flat_703_room_ATTACH. ,Room ATTACH. ,property_deema_flat_703,other,UPPER CORNER ATTACH
property_deema_flat_703_room_PARTITION. T,Room PARTITION. T,property_deema_flat_703,other,PARTITION
property_deema_flat_703_room_MAID ROOM,Room MAID ROOM,property_deema_flat_703,maid_room,MAID ROOM
property_deema_flat_604_room_ATTACH,Room ATTACH,property_deema_flat_604,other,ATTACH
property_deema_flat_604_room_PART. 2,Room PART. 2,property_deema_flat_604,hall_partition,HALL 2ND PART.
property_deema_flat_604_room_PART. 3,Room PART. 3,property_deema_flat_604,other,HALL 3RD PART. BAL.
property_deema_flat_604_room_K. HALL,Room K. HALL,property_deema_flat_604,other,KITCHEN HALL
property_deema_flat_604_room_K. MAID ROOM,Room K. MAID ROOM,property_deema_flat_604,other,KITCHEN MAID
property_deema_flat_604_room_604,Room 604,property_deema_flat_604,maid_room,MAID ROOM
property_deema_flat_704_room_BIG ATTACH,Room BIG ATTACH,property_deema_flat_704,other,B. ATTACH
property_deema_flat_704_room_PART. WINDOW,Room PART. WINDOW,property_deema_flat_704,other,PART.
property_deema_flat_704_room_MAID ROOM,Room MAID ROOM,property_deema_flat_704,maid_room,MAID ROOM
property_deema_flat_704_room_SEP. PART.1,Room SEP. PART.1,property_deema_flat_704,other,SEP. PART. 1
property_deema_flat_704_room_SEP PART. 2,Room SEP PART. 2,property_deema_flat_704,other,SEP. PART. 2
property_deema_flat_704_room_SH PART. 4,Room SH PART. 4,property_deema_flat_704,other,SEP. PART. 4
property_deema_flat_704_room_SEP PART. 3,Room SEP PART. 3,property_deema_flat_704,other,SH PART. 3
property_deema_flat_704_room_SH PART. 5,Room SH PART. 5,property_deema_flat_704,other,SH PART. 5
property_deema_flat_704_room_SH PART. 6,Room SH PART. 6,property_deema_flat_704,other,SH PART. 6
property_deema_flat_606_room_ATTACH,Room ATTACH,property_deema_flat_606,other,DOWN ATTACH
property_deema_flat_606_room_K. MAID ROOM,Room K. MAID ROOM,property_deema_flat_606,other,DOWN K. MAID ROOM
property_deema_flat_606_room_K. HALL,Room K. HALL,property_deema_flat_606,other,DOWN K.HALL
property_deema_flat_606_room_PART. 1,Room PART. 1,property_deema_flat_606,other,DOWN HALL 1ST PART
property_deema_flat_606_room_PART. 2,Room PART. 2,property_deema_flat_606,other,DOWN HALL 2ND PART
property_deema_flat_606_room_PART. 3,Room PART. 3,property_deema_flat_606,other,DOWN HALL 3RD PART
property_deema_flat_606_room_WIND. 4,Room WIND. 4,property_deema_flat_606,other,DOWN HALL 4TH PART WIND.
property_deema_flat_606_room_PART. 5,Room PART. 5,property_deema_flat_606,other,DOWN HALL 5TH PART
property_deema_flat_606_room_WIND. 6,Room WIND. 6,property_deema_flat_606,other,DOWN HALL PART. 6 WIND
property_deema_flat_706_room_MAID ROOM,Room MAID ROOM,property_deema_flat_706,maid_room,MAID ROOM
property_deema_flat_706_room_PART. WINDOW,Room PART. WINDOW,property_deema_flat_706,other,BIG PART. WIND.
property_deema_flat_706_room_ATTACH,Room ATTACH,property_deema_flat_706,other,ATTACH
property_deema_flat_706_room_SH. PART. 1,Room SH. PART. 1,property_deema_flat_706,other,SH. 1ST PART.
property_deema_flat_706_room_SH. PART. 2,Room SH. PART. 2,property_deema_flat_706,other,SH. 2ND PART.
property_deema_flat_706_room_SH PART. 3,Room SH PART. 3,property_deema_flat_706,other,SH. 3RD PART. WIND.
property_deema_flat_706_room_ATTACH PART. 1,Room ATTACH PART. 1,property_deema_flat_706,other,ATTACH PART. 1
property_deema_flat_706_room_ATTACH PART. 2,Room ATTACH PART. 2,property_deema_flat_706,other,ATTACH PART. 2
property_deema_flat_706_room_ATTACH PART. 3,Room ATTACH PART. 3,property_deema_flat_706,other,ATTACH PART. 3
property_deema_flat_610_room_ATTACH PART. 1,Room ATTACH PART. 1,property_deema_flat_610,other,ATTACH PART.
property_deema_flat_610_room_ATTACH PART. 2,Room ATTACH PART. 2,property_deema_flat_610,other,ATTACH PART. 2
property_deema_flat_610_room_ATTACH PART. 3,Room ATTACH PART. 3,property_deema_flat_610,other,ATTACH PART. 3 WIND.
property_deema_flat_610_room_PART. 1,Room PART. 1,property_deema_flat_610,other,HALL PART. 1
property_deema_flat_610_room_PART. 2,Room PART. 2,property_deema_flat_610,other,HALL PART. 2
property_deema_flat_610_room_PART. 3,Room PART. 3,property_deema_flat_610,other,HALL PART. 3 WIND.
property_deema_flat_610_room_K. HALL,Room K. HALL,property_deema_flat_610,other,K. HALL
property_deema_flat_610_room_BAL. R,Room BAL. R,property_deema_flat_610,other,MAID ROOM BAL.
property_deema_flat_610_room_MAID ROOM BAL.,Room MAID ROOM BAL.,property_deema_flat_610,maid_room,MAID ROOM
property_deema_flat_610_room_MAID ROOM,Room MAID ROOM,property_deema_flat_610,other,S. MAID ROOM
property_deema_flat_710_room_ATTACH PART. 1,Room ATTACH PART. 1,property_deema_flat_710,other,ATTACH PART. 1
property_deema_flat_710_room_ATTACH PART. 2,Room ATTACH PART. 2,property_deema_flat_710,other,ATTACH PART. 2
property_deema_flat_710_room_ATTACH PART. 3,Room ATTACH PART. 3,property_deema_flat_710,other,ATTACH PART. 3
property_deema_flat_710_room_SH. PART. 2,Room SH. PART. 2,property_deema_flat_710,other,SH. PART. 2 WIND
property_deema_flat_710_room_SH PART. 1,Room SH PART. 1,property_deema_flat_710,other,SHARING PART. 1
property_deema_flat_710_room_BIG ATTACH,Room BIG ATTACH,property_deema_flat_710,other,B. ATTACH
property_deema_flat_710_room_PART. BAL.,Room PART. BAL.,property_deema_flat_710,partition,PART. BAL.
property_deema_flat_710_room_PARITION ROOM,Room PARITION ROOM,property_deema_flat_710,other,PARTITION
property_deema_flat_611_room_PART. 1,Room PART. 1,property_deema_flat_611,hall_partition,HALL 1ST PART.
property_deema_flat_611_room_PART. 2,Room PART. 2,property_deema_flat_611,hall_partition,HALL 2ND PART.
property_deema_flat_611_room_PART. 3,Room PART. 3,property_deema_flat_611,other,HALL PART. 3
property_deema_flat_611_room_WIND. 4,Room WIND. 4,property_deema_flat_611,other,HALL 4TH PART. WIND.
property_deema_flat_611_room_WIND. 5,Room WIND. 5,property_deema_flat_611,other,HALL 5TH PART. WIND
property_deema_flat_611_room_PART. 6,Room PART. 6,property_deema_flat_611,other,HALL 6TH PART.
property_deema_flat_611_room_PART. 7,Room PART. 7,property_deema_flat_611,other,HALL 7TH PART.
property_deema_flat_611_room_MAID WINDOW,Room MAID WINDOW,property_deema_flat_611,other,MAID ROOM WIND.
property_deema_flat_711_room_SH. PART. 1,Room SH. PART. 1,property_deema_flat_711,other,SH. BAL. PART. 1
property_deema_flat_711_room_SH. PART. 2,Room SH. PART. 2,property_deema_flat_711,other,SH. WIND. PART. 2
property_deema_flat_711_room_SHARING ROOM,Room SHARING ROOM,property_deema_flat_711,other,SHARING BAL.
property_deema_flat_711_room_ATTACH BAL.,Room ATTACH BAL.,property_deema_flat_711,attached_bathroom,ATTACH BAL.
property_deema_flat_711_room_ATTACH PART. 1,Room ATTACH PART. 1,property_deema_flat_711,other,ATTACH 1ST PART.
property_deema_flat_711_room_ATTACH PART. 2,Room ATTACH PART. 2,property_deema_flat_711,other,ATTACH 2ND PART.
property_deema_flat_711_room_ATTACH PART. 3,Room ATTACH PART. 3,property_deema_flat_711,other,ATTACH 3RD PART.
property_yahya_flat_101_room_PARTITION ROOM,Room PARTITION ROOM,property_yahya_flat_101,other,PART.
property_yahya_flat_101_room_HALL,Room HALL,property_yahya_flat_101,other,HALL
property_yahya_flat_101_room_1ST SHARING ,Room 1ST SHARING ,property_yahya_flat_101,shared,SHARING
property_yahya_flat_101_room_2ND SHARING,Room 2ND SHARING,property_yahya_flat_101,shared,SHARING
property_yahya_flat_101_room_ATTACH,Room ATTACH,property_yahya_flat_101,other,ATTACH
property_yahya_flat_101_room_MAID ROOM,Room MAID ROOM,property_yahya_flat_101,maid_room,MAID ROOM
property_yahya_flat_108_room_ATTACH ,Room ATTACH ,property_yahya_flat_108,other,ATTACH
property_yahya_flat_108_room_SHARING ROOM,Room SHARING ROOM,property_yahya_flat_108,shared,SHARING
property_yahya_flat_108_room_MAID ROOM,Room MAID ROOM,property_yahya_flat_108,maid_room,MAID ROOM
property_yahya_flat_108_room_PART. 1,Room PART. 1,property_yahya_flat_108,other,PART- 1
property_yahya_flat_108_room_PART. 2,Room PART. 2,property_yahya_flat_108,other,PART- 2
property_yahya_flat_108_room_PART. 3,Room PART. 3,property_yahya_flat_108,other,PART- 3
property_yahya_flat_108_room_PART. 4,Room PART. 4,property_yahya_flat_108,other,PART- 4
property_yahya_flat_108_room_PART.5 BALCONY,Room PART.5 BALCONY,property_yahya_flat_108,other,PART- 5 BALCONY
property_yahya_flat_204_room_ATTACH ,Room ATTACH ,property_yahya_flat_204,other,ATTACH
property_yahya_flat_204_room_SHARING ROOM,Room SHARING ROOM,property_yahya_flat_204,shared,SHARING
property_yahya_flat_204_room_PART. 1,Room PART. 1,property_yahya_flat_204,hall_partition,HALL 1ST PART.
property_yahya_flat_204_room_PART. 2,Room PART. 2,property_yahya_flat_204,hall_partition,HALL 2ND PART.
property_yahya_flat_204_room_PART. 3,Room PART. 3,property_yahya_flat_204,other,HALL 3RD PART.
property_yahya_flat_204_room_PART. BALCONY,Room PART. BALCONY,property_yahya_flat_204,other,PART. BALCONY
property_yahya_flat_204_room_MAID ROOM,Room MAID ROOM,property_yahya_flat_204,maid_room,MAID ROOM
property_yahya_flat_207_room_ PART. 11,Room  PART. 11,property_yahya_flat_207,other,HALL PART. 11
property_yahya_flat_207_room_PART. 1,Room PART. 1,property_yahya_flat_207,hall_partition,HALL 1ST PART.
property_yahya_flat_207_room_PART. 2,Room PART. 2,property_yahya_flat_207,hall_partition,HALL 2ND PART.
property_yahya_flat_207_room_PART. BALCONY,Room PART. BALCONY,property_yahya_flat_207,other,PART. BALCONY
property_yahya_flat_207_room_PART. 4,Room PART. 4,property_yahya_flat_207,other,1ST SHARING PART. 4
property_yahya_flat_207_room_PART. 5,Room PART. 5,property_yahya_flat_207,other,1ST SHARING PART. 5
